Rank,Link,Year,Title,Directed by,Produced by,Starring,Music by,Edited by,Distributed by,Release date,Running Time(int),Language,Budget,Box office,Gross
23,https://en.wikipedia.org/wiki/Aquaman_(film),2018,Aquaman,James Wan,"['Peter Safran', 'Rob Cowan']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Nicole Kidman']",Rupert Gregson-Williams,Kirk Morri,Warner Bros. Pictures,"['November 26, 2018 ( 2018-11-26 ) ( Empire, Leicester Square )', 'December 21, 2018 ( 2018-12-21 ) (United States)']",143,English,$160–200 million,$1.148 billion,1148485886
24,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,2003,The Lord of the Rings:The Return of the King,Peter Jackson,"['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh']","['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Karl Urban', 'John Noble', 'Andy Serkis', 'Ian Holm', 'Sean Bean']",Howard Shore,Jamie Selkirk,New Line Cinema,"['1 December 2003 ( 2003-12-01 ) ( Embassy Theatre )', '17 December 2003 ( 2003-12-17 ) (United States)', '18 December 2003 ( 2003-12-18 ) (New Zealand)']",201,English,$94 million,$1.142 billion,1142219401
25,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home,2019,Spider-Man: Far From Home,Jon Watts,"['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Samuel L. Jackson', 'Zendaya', 'Cobie Smulders', 'Jon Favreau', 'J. B. Smoove', 'Jacob Batalon', 'Martin Starr', 'Marisa Tomei', 'Jake Gyllenhaal']",Michael Giacchino,"['Dan Lebental', 'Leigh Folsom Boyd']",Sony Pictures Releasing,"['June 26, 2019 ( 2019-06-26 ) ( TCL Chinese Theatre )', 'July 2, 2019 ( 2019-07-02 ) (United States)']",129,English,$160 million,$1.132 billion,1131927996
26,https://en.wikipedia.org/wiki/Captain_Marvel_(film),2019,Captain Marvel,"['Anna Boden', 'Ryan Fleck']",Kevin Feige,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']",Pinar Toprak,"['Elliot Graham', 'Debbie Berman']",Walt Disney Studios Motion Pictures,"['February 27, 2019 ( 2019-02-27 ) (London)', 'March 8, 2019 ( 2019-03-08 ) (United States)']",124,English,$152–175 million,$1.128 billion,1128274794
27,https://en.wikipedia.org/wiki/Transformers:_Dark_of_the_Moon,2011,Transformers: Dark of the Moon,Michael Bay,"['Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy', 'Ian Bryce']","['Shia LaBeouf', 'Josh Duhamel', 'John Turturro', 'Tyrese Gibson', 'Rosie Huntington-Whiteley', 'Patrick Dempsey', 'Kevin Dunn', 'Julie White', 'John Malkovich', 'Frances McDormand']",Steve Jablonsky,"['Roger Barton', 'William Goldenberg', 'Joel Negron']",Paramount Pictures,"['June 23, 2011 ( 2011-06-23 ) ( Moscow International Film Festival [1] )', 'June 29, 2011 ( 2011-06-29 ) (United States [2] [3] )']",154,English,$195 million,$1.124 billion,1123794079
28,https://en.wikipedia.org/wiki/Skyfall,2012,Skyfall,Sam Mendes,"['Michael G. Wilson', 'Barbara Broccoli']","['Daniel Craig', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Bérénice Marlohe', 'Albert Finney', 'Judi Dench']",Thomas Newman,"['Stuart Baird', 'Kate Baird']",Sony Pictures Releasing,"['23 October 2012 ( 2012-10-23 ) (London)', '26 October 2012 ( 2012-10-26 ) (United Kingdom)', '9 November 2012 ( 2012-11-09 ) (United States)']",143,English,$150–200 million,$1.109 billion,1108561013
29,https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction,2014,Transformers: Age of Extinction,Michael Bay,"['Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy', 'Ian Bryce']","['Mark Wahlberg', 'Stanley Tucci']",Steve Jablonsky,"['William Goldenberg', 'Roger Barton', 'Paul Rubell']",Paramount Pictures,"['June 19, 2014 ( 2014-06-19 ) ( Hong Kong )', 'June 27, 2014 ( 2014-06-27 ) (United States)']",165,English,$210 million,$1.104 billion,1104054072
30,https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,2012,The Dark Knight Rises,Christopher Nolan,"['Emma Thomas', 'Christopher Nolan', 'Charles Roven']","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']",Hans Zimmer,Lee Smith,Warner Bros. Pictures,"['July 16, 2012 ( 2012-07-16 ) (New York City)', 'July 20, 2012 ( 2012-07-20 ) (United States and United Kingdom)']",165,English,"['$250–300 million (gross) [3]', '$230 million (net) [3]']",$1.081 billion,1084939099
31,https://en.wikipedia.org/wiki/Joker_(2019_film),2019,Joker,Todd Phillips,"['Todd Phillips', 'Bradley Cooper', 'Emma Tillinger Koskoff']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Hildur Guðnadóttir,Jeff Groth,Warner Bros. Pictures,"['August 31, 2019 ( 2019-08-31 ) ( Venice )', 'October 4, 2019 ( 2019-10-04 ) (United States)']",122,English,$55–70 million,$1.074 billion,1074251311
32,https://en.wikipedia.org/wiki/Star_Wars:_The_Rise_of_Skywalker,2019,Star Wars: The Rise of Skywalker,J. J. Abrams,"['Kathleen Kennedy', 'J. J. Abrams', 'Michelle Rejwan']","['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']",John Williams,"['Maryann Brandon [1]', 'Stefan Grube [1]']",Walt Disney Studios Motion Pictures,"['December 16, 2019 ( 2019-12-16 ) (Los Angeles)', 'December 20, 2019 ( 2019-12-20 ) (United States)']",142,English,$275 million,$1.074 billion,1074144248
