title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Production companies,Languages,Countries,Story by,Written by,Created by,Original work,Owned by,Narration by,Narrated by,Color process,Years,Suggested by
Django Unchained,Quentin Tarantino,"['Stacey Sher', 'Reginald Hudlin', 'Pilar Savone']",Lawrence Kasdan,"""It Had to Be Murder"" by Cornell Woolrich","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson', 'Walton Goggins', 'Dennis Christopher', 'James Remar', 'Michael Parks', 'Don Johnson']",John Williams,Robert Richardson,Fred Raskin,Lucasfilm Ltd.,"['The Weinstein Company [1]', 'Columbia Pictures [1] (through Sony Pictures Releasing [2] )']","['December 11, 2012 ( 2012-12-11 ) ( Ziegfeld Theatre )', 'December 25, 2012 ( 2012-12-25 ) (United States)']",165 minutes,United States,English,$100 million,$425.4 million,"['A Band Apart [1]', 'Columbia Pictures [1]']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['George Lucas', 'Philip Kaufman']",Quentin Tarantino,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
The Lives of Others,Florian Henckel von Donnersmarck,"['Max Wiedemann', 'Quirin Berg']",Lawrence Kasdan,"""It Had to Be Murder"" by Cornell Woolrich","['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']","['Gabriel Yared', 'Stéphane Moucha']",Hagen Bogdanski,Patricia Rommel,Lucasfilm Ltd.,Buena Vista International,['23 March 2006 ( 2006-03-23 )'],137 minutes,Germany,German,$2 million,$77.3 million,"['Wiedemann & Berg', 'Bayerischer Rundfunk', 'Arte', 'Creado Film']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['George Lucas', 'Philip Kaufman']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Paths of Glory,Stanley Kubrick,James B. Harris,"['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson']",Paths of Glory by Humphrey Cobb,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris', 'Richard Anderson']",Gerald Fried,Georg Krause,Eva Kroll,Bryna Productions,United Artists,"['December 25, 1957 ( 1957-12-25 )']",88 minutes,United States,English,"$900,000",$77.3 million,"['Wiedemann & Berg', 'Bayerischer Rundfunk', 'Arte', 'Creado Film']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['George Lucas', 'Philip Kaufman']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
WALL-E,Andrew Stanton,Jim Morris,"['Andrew Stanton', 'Jim Reardon']",Paths of Glory by Humphrey Cobb,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']",Thomas Newman,"['Jeremy Lasky', 'Danielle Feinberg']",Stephen Schaffer,Bryna Productions,Walt Disney Studios Motion Pictures,"['June 23, 2008 ( 2008-06-23 ) ( Los Angeles )', 'June 27, 2008 ( 2008-06-27 ) (United States)']",97 minutes,United States,English,$180 million,$521.3 million,"['Walt Disney Pictures', 'Pixar Animation Studios']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['Andrew Stanton', 'Pete Docter']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']",Kevin Feige,"['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldana', 'Josh Brolin', 'Chris Pratt']",Alan Silvestri,Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Marvel Studios,Walt Disney Studios Motion Pictures,"['April 23, 2018 ( 2018-04-23 ) ( Dolby Theatre )', 'April 27, 2018 ( 2018-04-27 ) (United States)']",149 minutes,United States,English,$325–400 million,$2.048 billion,"['Walt Disney Pictures', 'Pixar Animation Studios']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['Andrew Stanton', 'Pete Docter']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Spider-Man: Into the Spider-Verse,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Avi Arad', 'Amy Pascal', 'Phil Lord Christopher Miller', 'Christina Steinberg']","['Phil Lord', 'Rodney Rothman']","['Spider-Man by Stan Lee Steve Ditko', 'Stan Lee', 'Steve Ditko', 'Miles Morales by Brian Michael Bendis Sara Pichelli', 'Brian Michael Bendis', 'Sara Pichelli']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Liev Schreiber']",Daniel Pemberton,Trent Opaloch,Robert Fisher Jr.,Marvel Studios,Sony Pictures Releasing,"['December 1, 2018 ( 2018-12-01 ) ( Regency Village Theater )', 'December 14, 2018 ( 2018-12-14 ) (United States)']",117 minutes,United States,English,$90 million,$375.5 million,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions [1]', 'Lord Miller Productions [1]', 'Pascal Pictures [1]']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']",Phil Lord,Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Stanley Kubrick,"['Stanley Kubrick', 'Terry Southern', 'Peter George']",Red Alert by Peter George,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn', 'Slim Pickens', 'Tracy Reed']",Laurie Johnson,Gilbert Taylor,Anthony Harvey,Hawk Films,Columbia Pictures,"['January 29, 1964 ( 1964-01-29 )']",94 minutes,United States,English,$1.8 million,$9.4 million (North America),"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions [1]', 'Lord Miller Productions [1]', 'Pascal Pictures [1]']",Italian English Portuguese Sicilian,['United Kingdom [2]'],Phil Lord,Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Once Upon a Time in America,Sergio Leone,Arnon Milchan,"['Leonardo Benvenuti', 'Piero De Bernardi', 'Enrico Medioli', 'Franco Arcalli', 'Franco Ferrini', 'Sergio Leone']",The Hoods by Harry Grey,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Joe Pesci', 'Burt Young', 'Tuesday Weld', 'Treat Williams']",Ennio Morricone,Tonino Delli Colli,Nino Baragli,Hawk Films,"['Warner Bros. (United States)', 'Titanus (Italy)']","['May 23, 1984 ( 1984-05-23 ) ( Cannes )', 'June 1, 1984 ( 1984-06-01 ) (United States)', 'September 28, 1984 ( 1984-09-28 ) (Italy)']","['250 minutes (Extended Cut)', '229 minutes (theatrical)', '139 minutes (re-edit)']",United States,English,$30 million,$5.5 million,"['The Ladd Company', 'PSO International', 'Embassy International Pictures', 'Rafran Cinematografica [1] [2]']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['Christopher Nolan', 'David S. Goyer']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Avengers: Endgame,"['Anthony Russo', 'Joe Russo']",Kevin Feige,"['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",Alan Silvestri,Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Marvel Studios,Walt Disney Studios Motion Pictures,"['April 22, 2019 ( 2019-04-22 ) ( Los Angeles Convention Center )', 'April 26, 2019 ( 2019-04-26 ) (United States)']",181 minutes,United States,English,$356 million,$2.798 billion,"['The Ladd Company', 'PSO International', 'Embassy International Pictures', 'Rafran Cinematografica [1] [2]']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['Christopher Nolan', 'David S. Goyer']",Florian Henckel von Donnersmarck,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Braveheart,Mel Gibson,"['Mel Gibson', 'Alan Ladd Jr.', 'Bruce Davey']","['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']","['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Catherine McCormack']",James Horner,John Toll,Steven Rosenblum,Marvel Studios,Paramount Pictures (North America) 20th Century Fox (International),"['May 18, 1995 ( 1995-05-18 ) ( Seattle )', 'May 24, 1995 ( 1995-05-24 ) (United States)']",178 minutes,United States,English,$65–70 million,$213.2 million,"['Icon Productions', 'The Ladd Company']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['Christopher Nolan', 'David S. Goyer']",Randall Wallace,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Das Boot,Wolfgang Petersen,Günter Rohrbach,Wolfgang Petersen,Das Boot by Lothar-Günther Buchheim,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",Klaus Doldinger,Jost Vacano,Hannes Nikel,Marvel Studios,"['Neue Constantin Film (Germany)', 'Columbia Pictures (International)']",['17 September 1981 ( 1981-09-17 )'],149 minutes,West Germany,German,32 million DM (equivalent to 32 million 2017 € ),$84.9 million  (equivalent to 225 million 2019 $),"['Bavaria Film', 'Radiant Film', 'Westdeutscher Rundfunk', 'SWR Fernsehen']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['Christopher Nolan', 'David S. Goyer']",Randall Wallace,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
3 Idiots,Rajkumar Hirani,Vidhu Vinod Chopra,Abhijat Joshi Rajkumar Hirani Vidhu Vinod Chopra,Five Point Someone by Chetan Bhagat,"['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor', 'Boman Irani', 'Omi Vaidya']",Score: Sanjay Wandrekar Atul Raninga Shantanu Moitra Songs: Shantanu Moitra,C. K. Muraleedharan,Rajkumar Hirani,Vinod Chopra Films,Reliance BIG Pictures,['25 December 2009 ( 2009-12-25 ) (India)'],171 minutes,India,Hindi,₹ 550 million,est. ₹ 4.60 billion,"['Walt Disney Pictures', 'Pixar Animation Studios']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft']",Abhijat Joshi Rajkumar Hirani,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,R. Madhavan,,,
High and Low,Akira Kurosawa,Akira Kurosawa,"['Ryūzō Kikushima', 'Hideo Oguni', 'Eijiro Hisaita', 'Akira Kurosawa [1]']",King's Ransom by Ed McBain,"['Toshiro Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa', 'Tatsuya Mihashi', 'Yutaka Sada']",Masaru Sato,"['Asakazu Nakai', 'Takao Saito [1]']",Akira Kurosawa,Vinod Chopra Films,Reliance BIG Pictures,['1 March 1963 ( 1963-03-01 ) (Japan)'],143 minutes,Japan,Japanese,₹ 550 million,est. ₹ 4.60 billion,"['Kurosawa Films', 'Toho [1]']",Italian English Portuguese Sicilian,"['United States [3]', 'Italy [3]']","['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft']",Abhijat Joshi Rajkumar Hirani,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,R. Madhavan,,,
Inglourious Basterds,Quentin Tarantino,Lawrence Bender,"['Ryūzō Kikushima', 'Hideo Oguni', 'Eijiro Hisaita', 'Akira Kurosawa [1]']",King's Ransom by Ed McBain,"['Brad Pitt', 'Christoph Waltz', 'Michael Fassbender', 'Eli Roth', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Mélanie Laurent', 'August Diehl']",Masaru Sato,Robert Richardson,Sally Menke,Vinod Chopra Films,"['The Weinstein Company (United States)', 'Universal Pictures (International and Worldwide Home Media)']","['May 20, 2009 ( 2009-05-20 ) ( Cannes )', 'August 20, 2009 ( 2009-08-20 ) (Germany)', 'August 21, 2009 ( 2009-08-21 ) (United States)']",153 minutes,Japan,Japanese,$70 million,$321.5 million,"['A Band Apart', 'Studio Babelsberg', 'Visiona Romantica']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']","['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft']",Quentin Tarantino,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Return of the Jedi,Richard Marquand,Howard Kazanjian,"['Lawrence Kasdan', 'George Lucas']",King's Ransom by Ed McBain,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Kenny Baker', 'Peter Mayhew', 'Frank Oz']",John Williams,Alan Hume,"['Sean Barton', 'Marcia Lucas', 'Duwayne Dunham']",Lucasfilm Ltd.,20th Century Fox,"['May 25, 1983 ( 1983-05-25 ) (United States)']",132 minutes,United States,English,$32.5–42.7 million,$475.1 million,"['A Band Apart', 'Studio Babelsberg', 'Visiona Romantica']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",George Lucas,Quentin Tarantino,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Good Will Hunting,Gus Van Sant,Lawrence Bender,"['Lawrence Kasdan', 'George Lucas']",King's Ransom by Ed McBain,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård', 'Minnie Driver']",Danny Elfman,Jean-Yves Escoffier,Pietro Scalia,Be Gentlemen,Miramax Films,"['December 2, 1997 ( 1997-12-02 ) ( Bruin Theater )', 'December 5, 1997 ( 1997-12-05 ) (United States)']",126 minutes,United States,English,$10 million,$225.9 million,"['A Band Apart', 'Studio Babelsberg', 'Visiona Romantica']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",George Lucas,"['Ben Affleck', 'Matt Damon']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Taare Zameen Par,Aamir Khan,Aamir Khan,"['Lawrence Kasdan', 'George Lucas']",King's Ransom by Ed McBain,Darsheel Safary Aamir Khan Tisca Chopra Vipin Sharma Sachet Engineer Tanay Chheda,Shankar–Ehsaan–Loy,Setu (Satyajit Pande),Deepa Bhatia,Be Gentlemen,Aamir Khan Productions,['21 December 2007 ( 2007-12-21 )'],164 minutes,India,Hindi,₹ 120 million,est. ₹ 889 million,"['A Band Apart', 'Studio Babelsberg', 'Visiona Romantica']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",George Lucas,Amole Gupte,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Reservoir Dogs,Quentin Tarantino,Lawrence Bender,"['Lawrence Kasdan', 'George Lucas']",King's Ransom by Ed McBain,"['Harvey Keitel', 'Tim Roth', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Michael Madsen']",Shankar–Ehsaan–Loy,Andrzej Sekuła,Sally Menke,Be Gentlemen,Miramax Films,"['January 21, 1992 ( 1992-01-21 ) ( Sundance )', 'October 9, 1992 ( 1992-10-09 ) (United States)']",99 minutes,United States,English,$1.2–3 million,$2.8 million (North America),"['Live America Inc.', 'Dog Eat Dog Productions']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",George Lucas,Quentin Tarantino,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
M,Fritz Lang,Seymour Nebenzal,"['Hubert Selby Jr.', 'Darren Aronofsky']",Requiem for a Dream by Hubert Selby Jr.,Peter Lorre Otto Wernicke Gustaf Gründgens,Clint Mansell,Fritz Arno Wagner,Paul Falkenberg,Nero-Film A.G.,Vereinigte Star-Film GmbH,['11 May 1931 ( 1931-05-11 )'],111 minutes,Germany,German,$4.5 million,$7.4 million,"['Thousand Words', 'Protozoa Pictures']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",George Lucas,Fritz Lang Thea von Harbou,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Eternal Sunshine of the Spotless Mind,Michel Gondry,"['Steve Golin', 'Anthony Bregman']",Charlie Kaufman,Requiem for a Dream by Hubert Selby Jr.,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo', 'Elijah Wood', 'Tom Wilkinson']",Jon Brion,Ellen Kuras,Valdís Óskarsdóttir,Nero-Film A.G.,Focus Features,"['March 19, 2004 ( 2004-03-19 )']",108 minutes,United States,English,$20 million,$74 million,"['Anonymous Content', 'This is That']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']",Fritz Lang Thea von Harbou,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Citizen Kane,Orson Welles,Orson Welles,"['Herman J. Mankiewicz', 'Orson Welles']",Requiem for a Dream by Hubert Selby Jr.,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Everett Sloane', 'Ray Collins', 'George Coulouris', 'Agnes Moorehead', 'Paul Stewart', 'Ruth Warrick', 'Erskine Sanford', 'William Alland']",Bernard Herrmann,Gregg Toland,Robert Wise,Mercury Productions,RKO Radio Pictures,"['May 1, 1941 ( 1941-05-01 ) ( Palace Theatre )', 'September 5, 1941 ( 1941-09-05 ) (United States)']",119 minutes,United States,English,"$839,727",$1.6 million (re-releases),"['Anonymous Content', 'This is That']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']",Fritz Lang Thea von Harbou,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Singin' in the Rain,"['Gene Kelly', 'Stanley Donen']",Arthur Freed,"['Herman J. Mankiewicz', 'Orson Welles']",Requiem for a Dream by Hubert Selby Jr.,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",Songs: Nacio Herb Brown (music) Arthur Freed (lyrics),Harold Rosson,Adrienne Fazan,Metro-Goldwyn-Mayer,Loew's Inc.,"['March 27, 1952 ( 1952-03-27 ) ( Radio City Music Hall )', 'April 11, 1952 ( 1952-04-11 ) ( US )']",103 minutes,United States,English,$2.5 million,$7.2 million,"['Anonymous Content', 'This is That']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","['Betty Comden', 'Adolph Green']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Bicycle Thieves,Vittorio De Sica,"Ercole Graziadei , Sergio Bernardi, Count Cicogna",Vittorio De Sica Cesare Zavattini Suso Cecchi d'Amico Gherardo Gherardi Oreste Biancoli Adolfo Franci,Requiem for a Dream by Hubert Selby Jr.,"['Enzo Staiola', 'Lamberto Maggiorani']",Alessandro Cicognini,Carlo Montuori,Eraldo Da Roma,Produzioni De Sica,Ente Nazionale Industrie Cinematografiche Joseph Burstyn & Arthur Mayer (US),['24 November 1948 ( 1948-11-24 ) (Italy)'],89 minutes,Italy,Italian,"$81,000 or $133,000","$371,111 (domestic gross)","['Anonymous Content', 'This is That']","['German', 'English', 'French']","['United States [2] [3] [4]', 'Germany [2] [3]']",Luigi Bartolini,"['Betty Comden', 'Adolph Green']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Full Metal Jacket,Stanley Kubrick,Stanley Kubrick,"['Stanley Kubrick', 'Michael Herr', 'Gustav Hasford']",The Short-Timers by Gustav Hasford,"['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio"", 'Lee Ermey', 'Dorian Harewood', 'Arliss Howard', 'Kevyn Major Howard', ""Ed O'Ross""]",Abigail Mead,Douglas Milsome,Martin Hunter,Produzioni De Sica,"['Warner Bros. (United States)', 'Columbia - Cannon -Warner Distributors (United Kingdom)']","['June 17, 1987 ( 1987-06-17 ) ( Beverly Hills )', 'June 26, 1987 ( 1987-06-26 ) (United States)', 'September 11, 1987 ( 1987-09-11 ) (United Kingdom)']",116 minutes,Italy,English,$16.5–30 million,$120 million  (46.4 million U.S.  ),"['Natant', 'Harrier Films']","['German', 'English', 'French']","['United Kingdom', 'United States [2]']",Luigi Bartolini,"['Betty Comden', 'Adolph Green']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
Come and See,Elem Klimov,Stanley Kubrick,"['Elem Klimov', 'Ales Adamovich']","['Ales Adamovich', 'Janka Bryl', 'Vladimir Kolesnik']","['Aleksei Kravchenko', 'Olga Mironova']",Oleg Yanchenko,Aleksei Rodionov,Valeriya Belova,Produzioni De Sica,Sovexportfilm,['9 July 1985 ( 1985-07-09 ) ( Moscow )'],142 minutes,Soviet Union,English,$16.5–30 million,$21 million,"['Mosfilm', 'Belarusfilm']","['Belarusian', 'Russian', 'German']","['United Kingdom', 'United States [2]']",Ales Adamovich,"['Betty Comden', 'Adolph Green']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,,,
North by Northwest,Alfred Hitchcock,Alfred Hitchcock,"['Elem Klimov', 'Ales Adamovich']","['Ales Adamovich', 'Janka Bryl', 'Vladimir Kolesnik']","['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']",Bernard Herrmann,Robert Burks,George Tomasini,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"['July 1, 1959 ( 1959-07-01 ) (Chicago) [1]']",136 minutes,United States,English,$4.3 million,$9.8 million,"['Mosfilm', 'Belarusfilm']","['Belarusian', 'Russian', 'German']","['United Kingdom', 'United States [2]']",Ales Adamovich,Ernest Lehman,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Ikiru,Akira Kurosawa,Sōjirō Motoki,"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Ales Adamovich', 'Janka Bryl', 'Vladimir Kolesnik']","['Takashi Shimura', 'Miki Odagiri']",Fumio Hayasaka,Asakazu Nakai,Kōichi Iwashita,Metro-Goldwyn-Mayer,Toho,"['October 9, 1952 ( 1952-10-09 )']",143 minutes,Japan,Japanese,$4.3 million,$9.8 million,"['Mosfilm', 'Belarusfilm']","['Belarusian', 'Russian', 'German']","['United Kingdom', 'United States [2]']",Ales Adamovich,Ernest Lehman,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Taxi Driver,Martin Scorsese,"['Julia Phillips', 'Michael Phillips']","['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Ales Adamovich', 'Janka Bryl', 'Vladimir Kolesnik']","['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Leonard Harris', 'Peter Boyle', 'Cybill Shepherd']",Bernard Herrmann,Michael Chapman,"['Marcia Lucas', 'Tom Rolf', 'Melvin Shapiro']",Metro-Goldwyn-Mayer,Columbia Pictures,"['February 8, 1976 ( 1976-02-08 )']",114 minutes,United States,English,$1.9 million,$28.4 million,"['Bill/Phillips Productions', 'Italo/Judeo Productions']","['Belarusian', 'Russian', 'German']","['United Kingdom', 'United States [2]']",Ales Adamovich,Paul Schrader,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Incendies,Denis Villeneuve,"['Luc Déry', 'Kim McCraw']","['Denis Villeneuve', 'Valérie Beaugrand-Champagne']",Incendies by Wajdi Mouawad,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard']",Grégoire Hetzel,André Turpin,Monique Dartonne,micro_scope,E1 Entertainment,"['4 September 2010 ( 2010-09-04 ) ( Telluride )', '17 September 2010 ( 2010-09-17 ) (Canada)']",130 minutes,Canada,English,$6.5 million,$16 million,"['Bill/Phillips Productions', 'Italo/Judeo Productions']",Arabic  French,"['United Kingdom', 'United States [2]']",Ales Adamovich,Paul Schrader,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Toy Story 3,Lee Unkrich,Darla K. Anderson,Michael Arndt,Incendies by Wajdi Mouawad,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Blake Clark', 'Jeff Pidgeon', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",Randy Newman,"['Jeremy Lasky', 'Kim White']",Ken Schretzmann,micro_scope,Walt Disney Studios Motion Pictures,"['June 12, 2010 ( 2010-06-12 ) ( Taormina Film Fest )', 'June 18, 2010 ( 2010-06-18 ) (United States)']",103 minutes,United States,English,$200 million,$1.067 billion,"['Walt Disney Pictures', 'Pixar Animation Studios']",Arabic  French,"['United Kingdom', 'United States [2]']","['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",Asghar Farhadi,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
The Sting,George Roy Hill,"['Tony Bill', 'Michael Phillips', 'Julia Phillips']",Michael Arndt,Incendies by Wajdi Mouawad,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Eileen Brennan', 'Charles Durning', 'Robert Earl Jones']",Marvin Hamlisch,Robert Surtees,William Reynolds,micro_scope,Universal Pictures,"['December 25, 1973 ( 1973-12-25 )']",129 minutes,United States,English,$5.5 million,$159.6 million,Universal Pictures The Zanuck/Brown Company,Arabic  French,"['United Kingdom', 'United States [2]']","['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",David S. Ward,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
